256 256
-0.4 -5.906 -7.01839
-0.353 -5.906 -7.02469
-0.306 -5.906 -7.02205
-0.259 -5.906 -7.01392
-0.212 -5.906 -7.00233
-0.165 -5.906 -6.98834
-0.118 -5.906 -6.97398
-0.071 -5.906 -6.96077
-0.024 -5.906 -6.9514
0.024 -5.906 -6.94745
0.071 -5.906 -6.9512
0.118 -5.906 -6.96284
0.165 -5.906 -6.98225
0.212 -5.906 -7.0067
0.259 -5.906 -7.0307
0.306 -5.906 -7.04903
0.353 -5.906 -7.06054
0.4 -5.906 -7.064
0.447 -5.906 -7.06069
0.494 -5.906 -7.05413
0.541 -5.906 -7.05011
0.588 -5.906 -7.05252
0.635 -5.906 -7.06294
0.682 -5.906 -7.0782
0.729 -5.906 -7.09241
0.776 -5.906 -7.10125
0.824 -5.906 -7.10231
0.871 -5.906 -7.09641
0.918 -5.906 -7.08397
0.965 -5.906 -7.06823
1.012 -5.906 -7.05447
1.059 -5.906 -7.04703
1.106 -5.906 -7.04731
1.153 -5.906 -7.05321
1.2 -5.906 -7.06036
1.247 -5.906 -7.06281
1.294 -5.906 -7.05707
1.341 -5.906 -7.04338
1.388 -5.906 -7.02789
1.435 -5.906 -7.01895
1.482 -5.906 -7.0243
1.529 -5.906 -7.0445
1.576 -5.906 -7.07691
1.624 -5.906 -7.11377
1.671 -5.906 -7.1437
1.718 -5.906 -7.15797
1.765 -5.906 -7.15016
1.812 -5.906 -7.12404
1.859 -5.906 -7.08859
1.906 -5.906 -7.05387
1.953 -5.906 -7.02808
2.0 -5.906 -7.01527
2.047 -5.906 -7.01706
2.094 -5.906 -7.03035
2.141 -5.906 -7.04766
2.188 -5.906 -7.05619
2.235 -5.906 -7.04527
2.282 -5.906 -7.01462
2.329 -5.906 -6.97506
2.376 -5.906 -6.93949
2.424 -5.906 -6.91321
2.471 -5.906 -6.89586
2.518 -5.906 -6.88572
2.565 -5.906 -6.8852
2.612 -5.906 -6.89949
2.659 -5.906 -6.9328
2.706 -5.906 -6.9843
2.753 -5.906 -7.04658
2.8 -5.906 -7.10832
2.847 -5.906 -7.15777
2.894 -5.906 -7.18709
2.941 -5.906 -7.19942
2.988 -5.906 -7.19993
3.035 -5.906 -7.19567
3.082 -5.906 -7.19353
3.129 -5.906 -7.19461
3.176 -5.906 -7.19767
3.224 -5.906 -7.19795
3.271 -5.906 -7.19354
3.318 -5.906 -7.1837
3.365 -5.906 -7.17575
3.412 -5.906 -7.17771
3.459 -5.906 -7.19422
3.506 -5.906 -7.22224
3.553 -5.906 -7.24848
3.6 -5.906 -7.26405
3.647 -5.906 -7.26392
3.694 -5.906 -7.2551
3.741 -5.906 -7.24463
3.788 -5.906 -7.23855
3.835 -5.906 -7.24172
3.882 -5.906 -7.25779
